Set	ExtraCondition	PrimeLanguage	PrimeType	TargetType	TargetLanguage	PrimeSentence	TargetSentence	FullSentence
Set3	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The monk hands a book to the soldier	The burglar hands a ball to the pirate	The monk hands a book to the soldier. The burglar hands a ball to the pirate.
Set3	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The chef throws the boxer a hat	The burglar hands the pirate a ball	The chef throws the boxer a hat. The burglar hands the pirate a ball.
Set3	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The chef throws the boxer a hat	The burglar hands a ball to the pirate	The chef throws the boxer a hat. The burglar hands a ball to the pirate.
Set3	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The chef throws a hat to the boxer	The burglar hands the pirate a ball	The chef throws a hat to the boxer. The burglar hands the pirate a ball.
Set3	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The chef throws a hat to the boxer	The burglar hands a ball to the pirate	The chef throws a hat to the boxer. The burglar hands a ball to the pirate.
Set4	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The nun shows the prisoner a hat	The dancer shows the waitress a jug	The nun shows the prisoner a hat. The dancer shows the waitress a jug.
Set4	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The nun shows the prisoner a hat	The dancer shows a jug to the waitress	The nun shows the prisoner a hat. The dancer shows a jug to the waitress.
Set4	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The nun shows a hat to the prisoner	The dancer shows the waitress a jug	The nun shows a hat to the prisoner. The dancer shows the waitress a jug.
Set4	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The nun shows a hat to the prisoner	The dancer shows a jug to the waitress	The nun shows a hat to the prisoner. The dancer shows a jug to the waitress.
Set4	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The prisoner gives the boxer a pie	The dancer shows the waitress a jug	The prisoner gives the boxer a pie. The dancer shows the waitress a jug.
Set4	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The prisoner gives the boxer a pie	The dancer shows a jug to the waitress	The prisoner gives the boxer a pie. The dancer shows a jug to the waitress.
Set4	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The prisoner gives a pie to the boxer	The dancer shows the waitress a jug	The prisoner gives a pie to the boxer. The dancer shows the waitress a jug.
Set4	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The prisoner gives a pie to the boxer	The dancer shows a jug to the waitress	The prisoner gives a pie to the boxer. The dancer shows a jug to the waitress.
Set5	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The sailor throws the waitress a jug	The pirate throws the soldier a gun	The sailor throws the waitress a jug. The pirate throws the soldier a gun.
Set5	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The sailor throws the waitress a jug	The pirate throws a gun to the soldier	The sailor throws the waitress a jug. The pirate throws a gun to the soldier.
Set5	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The sailor throws a jug to the waitress	The pirate throws the soldier a gun	The sailor throws a jug to the waitress. The pirate throws the soldier a gun.
Set5	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The sailor throws a jug to the waitress	The pirate throws a gun to the soldier	The sailor throws a jug to the waitress. The pirate throws a gun to the soldier.
Set5	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The monk sells the dancer a hat	The pirate throws the soldier a gun	The monk sells the dancer a hat. The pirate throws the soldier a gun.
Set5	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The monk sells the dancer a hat	The pirate throws a gun to the soldier	The monk sells the dancer a hat. The pirate throws a gun to the soldier.
Set5	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The monk sells a hat to the dancer	The pirate throws the soldier a gun	The monk sells a hat to the dancer. The pirate throws the soldier a gun.
Set5	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The monk sells a hat to the dancer	The pirate throws a gun to the soldier	The monk sells a hat to the dancer. The pirate throws a gun to the soldier.
Set6	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The pirate hands the boxer a pie	The dancer hands the soldier a jug	The pirate hands the boxer a pie. The dancer hands the soldier a jug.
Set6	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The pirate hands the boxer a pie	The dancer hands a jug to the soldier	The pirate hands the boxer a pie. The dancer hands a jug to the soldier.
Set6	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The pirate hands a pie to the boxer	The dancer hands the soldier a jug	The pirate hands a pie to the boxer. The dancer hands the soldier a jug.
Set6	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The pirate hands a pie to the boxer	The dancer hands a jug to the soldier	The pirate hands a pie to the boxer. The dancer hands a jug to the soldier.
Set6	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The cowboy shows the pirate an apple	The dancer hands the soldier a jug	The cowboy shows the pirate an apple. The dancer hands the soldier a jug.
Set6	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The cowboy shows the pirate an apple	The dancer hands a jug to the soldier	The cowboy shows the pirate an apple. The dancer hands a jug to the soldier.
Set6	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The cowboy shows an apple to the pirate	The dancer hands the soldier a jug	The cowboy shows an apple to the pirate. The dancer hands the soldier a jug.
Set6	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The cowboy shows an apple to the pirate	The dancer hands a jug to the soldier	The cowboy shows an apple to the pirate. The dancer hands a jug to the soldier.
Set7	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The pirate shows the burglar an apple	The prisoner shows the swimmer a gun	The pirate shows the burglar an apple. The prisoner shows the swimmer a gun.
Set7	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The pirate shows the burglar an apple	The prisoner shows a gun to the swimmer	The pirate shows the burglar an apple. The prisoner shows a gun to the swimmer.
Set7	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The pirate shows an apple to the burglar	The prisoner shows the swimmer a gun	The pirate shows an apple to the burglar. The prisoner shows the swimmer a gun.
Set7	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The pirate shows an apple to the burglar	The prisoner shows a gun to the swimmer	The pirate shows an apple to the burglar. The prisoner shows a gun to the swimmer.
Set7	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The policeman throws the waitress an apple	The prisoner shows the swimmer a gun	The policeman throws the waitress an apple. The prisoner shows the swimmer a gun.
Set7	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The policeman throws the waitress an apple	The prisoner shows a gun to the swimmer	The policeman throws the waitress an apple. The prisoner shows a gun to the swimmer.
Set7	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The policeman throws an apple to the waitress	The prisoner shows the swimmer a gun	The policeman throws an apple to the waitress. The prisoner shows the swimmer a gun.
Set7	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The policeman throws an apple to the waitress	The prisoner shows a gun to the swimmer	The policeman throws an apple to the waitress. The prisoner shows a gun to the swimmer.
Set8	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The teacher offers the soldier an apple	The cowboy offers the boxer a pie	The teacher offers the soldier an apple. The cowboy offers the boxer a pie.
Set8	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The teacher offers the soldier an apple	The cowboy offers a pie to the boxer	The teacher offers the soldier an apple. The cowboy offers a pie to the boxer.
Set8	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The teacher offers an apple to the soldier	The cowboy offers the boxer a pie	The teacher offers an apple to the soldier. The cowboy offers the boxer a pie.
Set8	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The teacher offers an apple to the soldier	The cowboy offers a pie to the boxer	The teacher offers an apple to the soldier. The cowboy offers a pie to the boxer.
Set8	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The policeman throws the swimmer a jug	The cowboy offers the boxer a pie	The policeman throws the swimmer a jug. The cowboy offers the boxer a pie.
Set8	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The policeman throws the swimmer a jug	The cowboy offers a pie to the boxer	The policeman throws the swimmer a jug. The cowboy offers a pie to the boxer.
Set8	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The policeman throws a jug to the swimmer	The cowboy offers the boxer a pie	The policeman throws a jug to the swimmer. The cowboy offers the boxer a pie.
Set8	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The policeman throws a jug to the swimmer	The cowboy offers a pie to the boxer	The policeman throws a jug to the swimmer. The cowboy offers a pie to the boxer.
Set9	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The cowboy offers the burglar a hat	The teacher offers the prisoner a jug	The cowboy offers the burglar a hat. The teacher offers the prisoner a jug.
Set9	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The cowboy offers the burglar a hat	The teacher offers a jug to the prisoner	The cowboy offers the burglar a hat. The teacher offers a jug to the prisoner.
Set9	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The cowboy offers a hat to the burglar	The teacher offers the prisoner a jug	The cowboy offers a hat to the burglar. The teacher offers the prisoner a jug.
Set9	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The cowboy offers a hat to the burglar	The teacher offers a jug to the prisoner	The cowboy offers a hat to the burglar. The teacher offers a jug to the prisoner.
Set9	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The dancer gives the nun a banana	The teacher offers the prisoner a jug	The dancer gives the nun a banana. The teacher offers the prisoner a jug.
Set9	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The dancer gives the nun a banana	The teacher offers a jug to the prisoner	The dancer gives the nun a banana. The teacher offers a jug to the prisoner.
Set9	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The dancer gives a banana to the nun	The teacher offers the prisoner a jug	The dancer gives a banana to the nun. The teacher offers the prisoner a jug.
Set9	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The dancer gives a banana to the nun	The teacher offers a jug to the prisoner	The dancer gives a banana to the nun. The teacher offers a jug to the prisoner.
Set10	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The cowboy throws the dancer a ball	The nun throws the swimmer a cup	The cowboy throws the dancer a ball. The nun throws the swimmer a cup.
Set10	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The cowboy throws the dancer a ball	The nun throws a cup to the swimmer	The cowboy throws the dancer a ball. The nun throws a cup to the swimmer.
Set10	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The cowboy throws a ball to the dancer	The nun throws the swimmer a cup	The cowboy throws a ball to the dancer. The nun throws the swimmer a cup.
Set10	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The cowboy throws a ball to the dancer	The nun throws a cup to the swimmer	The cowboy throws a ball to the dancer. The nun throws a cup to the swimmer.
Set10	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The policeman shows the cowboy a jug	The nun throws the swimmer a cup	The policeman shows the cowboy a jug. The nun throws the swimmer a cup.
Set10	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The policeman shows the cowboy a jug	The nun throws a cup to the swimmer	The policeman shows the cowboy a jug. The nun throws a cup to the swimmer.
Set10	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The policeman shows a jug to the cowboy	The nun throws the swimmer a cup	The policeman shows a jug to the cowboy. The nun throws the swimmer a cup.
Set10	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The policeman shows a jug to the cowboy	The nun throws a cup to the swimmer	The policeman shows a jug to the cowboy. The nun throws a cup to the swimmer.
Set11	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The cowboy throws the clown a book	The policeman throws the monk a hat	The cowboy throws the clown a book. The policeman throws the monk a hat.
Set11	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The cowboy throws the clown a book	The policeman throws a hat to the monk	The cowboy throws the clown a book. The policeman throws a hat to the monk.
Set11	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The cowboy throws a book to the clown	The policeman throws the monk a hat	The cowboy throws a book to the clown. The policeman throws the monk a hat.
Set11	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The cowboy throws a book to the clown	The policeman throws a hat to the monk	The cowboy throws a book to the clown. The policeman throws a hat to the monk.
Set11	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The waitress offers the swimmer a jug	The policeman throws the monk a hat	The waitress offers the swimmer a jug. The policeman throws the monk a hat.
Set11	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The waitress offers the swimmer a jug	The policeman throws a hat to the monk	The waitress offers the swimmer a jug. The policeman throws a hat to the monk.
Set11	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The waitress offers a jug to the swimmer	The policeman throws the monk a hat	The waitress offers a jug to the swimmer. The policeman throws the monk a hat.
Set11	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The waitress offers a jug to the swimmer	The policeman throws a hat to the monk	The waitress offers a jug to the swimmer. The policeman throws a hat to the monk.
Set12	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The policeman throws the sailor a hat	The cowboy throws the dancer a banana	The policeman throws the sailor a hat. The cowboy throws the dancer a banana.
Set12	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The policeman throws the sailor a hat	The cowboy throws a banana to the dancer	The policeman throws the sailor a hat. The cowboy throws a banana to the dancer.
Set12	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The policeman throws a hat to the sailor	The cowboy throws the dancer a banana	The policeman throws a hat to the sailor. The cowboy throws the dancer a banana.
Set12	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The policeman throws a hat to the sailor	The cowboy throws a banana to the dancer	The policeman throws a hat to the sailor. The cowboy throws a banana to the dancer.
Set12	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The chef sells the nun a gun	The cowboy throws the dancer a banana	The chef sells the nun a gun. The cowboy throws the dancer a banana.
Set12	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The chef sells the nun a gun	The cowboy throws a banana to the dancer	The chef sells the nun a gun. The cowboy throws a banana to the dancer.
Set12	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The chef sells a gun to the nun	The cowboy throws the dancer a banana	The chef sells a gun to the nun. The cowboy throws the dancer a banana.
Set12	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The chef sells a gun to the nun	The cowboy throws a banana to the dancer	The chef sells a gun to the nun. The cowboy throws a banana to the dancer.
Set13	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The burglar sells the doctor a ball	The prisoner sells the pirate an apple	The burglar sells the doctor a ball. The prisoner sells the pirate an apple.
Set13	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The burglar sells the doctor a ball	The prisoner sells an apple to the pirate	The burglar sells the doctor a ball. The prisoner sells an apple to the pirate.
Set13	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The burglar sells a ball to the doctor	The prisoner sells the pirate an apple	The burglar sells a ball to the doctor. The prisoner sells the pirate an apple.
Set13	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The burglar sells a ball to the doctor	The prisoner sells an apple to the pirate	The burglar sells a ball to the doctor. The prisoner sells an apple to the pirate.
Set13	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The chef hands the soldier a jug	The prisoner sells the pirate an apple	The chef hands the soldier a jug. The prisoner sells the pirate an apple.
Set13	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The chef hands the soldier a jug	The prisoner sells an apple to the pirate	The chef hands the soldier a jug. The prisoner sells an apple to the pirate.
Set13	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The chef hands a jug to the soldier	The prisoner sells the pirate an apple	The chef hands a jug to the soldier. The prisoner sells the pirate an apple.
Set13	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The chef hands a jug to the soldier	The prisoner sells an apple to the pirate	The chef hands a jug to the soldier. The prisoner sells an apple to the pirate.
Set14	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The teacher sells the cowboy a jug	The painter sells the doctor a gun	The teacher sells the cowboy a jug. The painter sells the doctor a gun.
Set14	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The teacher sells the cowboy a jug	The painter sells a gun to the doctor	The teacher sells the cowboy a jug. The painter sells a gun to the doctor.
Set14	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The teacher sells a jug to the cowboy	The painter sells the doctor a gun	The teacher sells a jug to the cowboy. The painter sells the doctor a gun.
Set14	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The teacher sells a jug to the cowboy	The painter sells a gun to the doctor	The teacher sells a jug to the cowboy. The painter sells a gun to the doctor.
Set14	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The chef hands the soldier a jug	The painter sells the doctor a gun	The chef hands the soldier a jug. The painter sells the doctor a gun.
Set14	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The chef hands the soldier a jug	The painter sells a gun to the doctor	The chef hands the soldier a jug. The painter sells a gun to the doctor.
Set14	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The chef hands a jug to the soldier	The painter sells the doctor a gun	The chef hands a jug to the soldier. The painter sells the doctor a gun.
Set14	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The chef hands a jug to the soldier	The painter sells a gun to the doctor	The chef hands a jug to the soldier. The painter sells a gun to the doctor.
Set15	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The dancer hands the doctor an apple	The pirate hands the sailor a pie	The dancer hands the doctor an apple. The pirate hands the sailor a pie.
Set15	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The dancer hands the doctor an apple	The pirate hands a pie to the sailor	The dancer hands the doctor an apple. The pirate hands a pie to the sailor.
Set15	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The dancer hands an apple to the doctor	The pirate hands the sailor a pie	The dancer hands an apple to the doctor. The pirate hands the sailor a pie.
Set15	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The dancer hands an apple to the doctor	The pirate hands a pie to the sailor	The dancer hands an apple to the doctor. The pirate hands a pie to the sailor.
Set15	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The teacher gives the dancer an apple	The pirate hands the sailor a pie	The teacher gives the dancer an apple. The pirate hands the sailor a pie.
Set15	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The teacher gives the dancer an apple	The pirate hands a pie to the sailor	The teacher gives the dancer an apple. The pirate hands a pie to the sailor.
Set15	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The teacher gives an apple to the dancer	The pirate hands the sailor a pie	The teacher gives an apple to the dancer. The pirate hands the sailor a pie.
Set15	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The teacher gives an apple to the dancer	The pirate hands a pie to the sailor	The teacher gives an apple to the dancer. The pirate hands a pie to the sailor.
Set16	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The chef gives the prisoner a gun	The teacher gives the swimmer a banana	The chef gives the prisoner a gun. The teacher gives the swimmer a banana.
Set16	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The chef gives the prisoner a gun	The teacher gives a banana to the swimmer	The chef gives the prisoner a gun. The teacher gives a banana to the swimmer.
Set16	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The chef gives the prisoner a gun	The teacher gives the swimmer a banana	The chef gives the prisoner a gun. The teacher gives the swimmer a banana.
Set16	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The chef gives the prisoner a gun	The teacher gives a banana to the swimmer	The chef gives the prisoner a gun. The teacher gives a banana to the swimmer.
Set16	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The burglar hands the pirate a ball	The teacher gives the swimmer a banana	The burglar hands the pirate a ball. The teacher gives the swimmer a banana.
Set16	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The burglar hands the pirate a ball	The teacher gives a banana to the swimmer	The burglar hands the pirate a ball. The teacher gives a banana to the swimmer.
Set16	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The burglar hands the pirate a ball	The teacher gives the swimmer a banana	The burglar hands the pirate a ball. The teacher gives the swimmer a banana.
Set16	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The burglar hands the pirate a ball	The teacher gives a banana to the swimmer	The burglar hands the pirate a ball. The teacher gives a banana to the swimmer.
Set17	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The burglar shows the soldier a hat	The pirate shows the clown a gun	The burglar shows the soldier a hat. The pirate shows the clown a gun.
Set17	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The burglar shows the soldier a hat	The pirate shows a gun to the clown	The burglar shows the soldier a hat. The pirate shows a gun to the clown.
Set17	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The burglar shows a hat to the soldier	The pirate shows the clown a gun	The burglar shows a hat to the soldier. The pirate shows the clown a gun.
Set17	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The burglar shows a hat to the soldier	The pirate shows a gun to the clown	The burglar shows a hat to the soldier. The pirate shows a gun to the clown.
Set17	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The painter hands the waitress a hat	The pirate shows the clown a gun	The painter hands the waitress a hat. The pirate shows the clown a gun.
Set17	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The painter hands the waitress a hat	The pirate shows a gun to the clown	The painter hands the waitress a hat. The pirate shows a gun to the clown.
Set17	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The painter hands a hat to the waitress	The pirate shows the clown a gun	The painter hands a hat to the waitress. The pirate shows the clown a gun.
Set17	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The painter hands a hat to the waitress	The pirate shows a gun to the clown	The painter hands a hat to the waitress. The pirate shows a gun to the clown.
Set18	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The waitress givesthe boxer a pie	The burglar gives the nun a hat	The waitress givesthe boxer a pie. The burglar gives the nun a hat.
Set18	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The waitress givesthe boxer a pie	The burglar gives a hat to the nun	The waitress givesthe boxer a pie. The burglar gives a hat to the nun.
Set18	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The waitress gives a pie to the boxer	The burglar gives the nun a hat	The waitress gives a pie to the boxer. The burglar gives the nun a hat.
Set18	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The waitress gives a pie to the boxer	The burglar gives a hat to the nun	The waitress gives a pie to the boxer. The burglar gives a hat to the nun.
Set18	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The cowboy offers the monk a pie	The burglar gives the nun a hat	The cowboy offers the monk a pie. The burglar gives the nun a hat.
Set18	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The cowboy offers the monk a pie	The burglar gives a hat to the nun	The cowboy offers the monk a pie. The burglar gives a hat to the nun.
Set18	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The cowboy offers a pie to the monk	The burglar gives the nun a hat	The cowboy offers a pie to the monk. The burglar gives the nun a hat.
Set18	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The cowboy offers a pie to the monk	The burglar gives a hat to the nun	The cowboy offers a pie to the monk. The burglar gives a hat to the nun.
Set19	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The cowboy throws the clown a book	The nun throws the dancer an apple	The cowboy throws the clown a book. The nun throws the dancer an apple.
Set19	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The cowboy throws the clown a book	The nun throws an apple to the dancer	The cowboy throws the clown a book. The nun throws an apple to the dancer.
Set19	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The cowboy throws a book to the clown	The nun throws the dancer an apple	The cowboy throws a book to the clown. The nun throws the dancer an apple.
Set19	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The cowboy throws a book to the clown	The nun throws an apple to the dancer	The cowboy throws a book to the clown. The nun throws an apple to the dancer.
Set19	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The policeman shows the cowboy a cup	The nun throws the dancer an apple	The policeman shows the cowboy a cup. The nun throws the dancer an apple.
Set19	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The policeman shows the cowboy a cup	The nun throws an apple to the dancer	The policeman shows the cowboy a cup. The nun throws an apple to the dancer.
Set19	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The policeman shows a cup to the cowboy	The nun throws the dancer an apple	The policeman shows a cup to the cowboy. The nun throws the dancer an apple.
Set19	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The policeman shows a cup to the cowboy	The nun throws an apple to the dancer	The policeman shows a cup to the cowboy. The nun throws an apple to the dancer.
