Set	ExtraCondition	PrimeLanguage	PrimeType	TargetType	TargetLanguage	PrimeSentence	TargetSentence	FullSentence
Set2	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The girl's rabbit is blue	The bucket of the nurse is blue	The girl's rabbit is blue. The bucket of the nurse is blue.
Set2	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The rabbit of the blue	The nurse's bucket is blue	The rabbit of the blue. The nurse's bucket is blue.
Set2	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The rabbit of the blue	The bucket of the nurse is blue	The rabbit of the blue. The bucket of the nurse is blue.
Set3	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The pirate's banjo is yellow	The nurse's banjo is yellow	The pirate's banjo is yellow. The nurse's banjo is yellow.
Set3	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The pirate's banjo is yellow	The banjo of the nurse is yellow	The pirate's banjo is yellow. The banjo of the nurse is yellow.
Set3	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The banjo of the pirate is yellow	The nurse's banjo is yellow	The banjo of the pirate is yellow. The nurse's banjo is yellow.
Set3	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The banjo of the pirate is yellow	The banjo of the nurse is yellow	The banjo of the pirate is yellow. The banjo of the nurse is yellow.
Set3	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The pirate's mirror is yellow	The nurse's banjo is yellow	The pirate's mirror is yellow. The nurse's banjo is yellow.
Set3	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The pirate's mirror is yellow	The banjo of the nurse is yellow	The pirate's mirror is yellow. The banjo of the nurse is yellow.
Set3	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The mirror of the pirate is yellow	The nurse's banjo is yellow	The mirror of the pirate is yellow. The nurse's banjo is yellow.
Set3	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The mirror of the pirate is yellow	The banjo of the nurse is yellow	The mirror of the pirate is yellow. The banjo of the nurse is yellow.
Set4	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The pirate's flashlight is yellow	The nun's flashlight is yellow	The pirate's flashlight is yellow. The nun's flashlight is yellow.
Set4	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The pirate's flashlight is yellow	The flashlight of the nun is yellow	The pirate's flashlight is yellow. The flashlight of the nun is yellow.
Set4	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The flashlight of the pirate is yellow	The nun's flashlight is yellow	The flashlight of the pirate is yellow. The nun's flashlight is yellow.
Set4	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The flashlight of the pirate is yellow	The flashlight of the nun is yellow	The flashlight of the pirate is yellow. The flashlight of the nun is yellow.
Set4	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The pirate's bullet is yellow	The nun's flashlight is yellow	The pirate's bullet is yellow. The nun's flashlight is yellow.
Set4	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The pirate's bullet is yellow	The flashlight of the nun is yellow	The pirate's bullet is yellow. The flashlight of the nun is yellow.
Set4	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The bullet of the pirate is yellow	The nun's flashlight is yellow	The bullet of the pirate is yellow. The nun's flashlight is yellow.
Set4	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The bullet of the pirate is yellow	The flashlight of the nun is yellow	The bullet of the pirate is yellow. The flashlight of the nun is yellow.
Set5	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's beard is red	The wizard's beard is red	The boy's beard is red. The wizard's beard is red.
Set5	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's beard is red	The beard of the wizard is red	The boy's beard is red. The beard of the wizard is red.
Set5	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The beard of the boy is red	The wizard's beard is red	The beard of the boy is red. The wizard's beard is red.
Set5	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The beard of the boy is red	The beard of the wizard is red	The beard of the boy is red. The beard of the wizard is red.
Set5	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's corn is red	The wizard's beard is red	The boy's corn is red. The wizard's beard is red.
Set5	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's corn is red	The beard of the wizard is red	The boy's corn is red. The beard of the wizard is red.
Set5	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The corn of the boy is red	The wizard's beard is red	The corn of the boy is red. The wizard's beard is red.
Set5	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The corn of the boy is red	The beard of the wizard is red	The corn of the boy is red. The beard of the wizard is red.
Set6	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's duck is red	The witch's duck is red	The boy's duck is red. The witch's duck is red.
Set6	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's duck is red	The red of the witch is red	The boy's duck is red. The red of the witch is red.
Set6	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The duck of the boy is red	The witch's duck is red	The duck of the boy is red. The witch's duck is red.
Set6	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The duck of the boy is red	The red of the witch is red	The duck of the boy is red. The red of the witch is red.
Set6	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's cheese is red	The witch's duck is red	The boy's cheese is red. The witch's duck is red.
Set6	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's cheese is red	The red of the witch is red	The boy's cheese is red. The red of the witch is red.
Set6	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The cheese of the boy is red	The witch's duck is red	The cheese of the boy is red. The witch's duck is red.
Set6	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The cheese of the boy is red	The red of the witch is red	The cheese of the boy is red. The red of the witch is red.
Set7	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The nun's bear is blue	The witch's bear is blue	The nun's bear is blue. The witch's bear is blue.
Set7	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The nun's bear is blue	The bear of the witch is blue	The nun's bear is blue. The bear of the witch is blue.
Set7	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The bear of the nun is blue	The witch's bear is blue	The bear of the nun is blue. The witch's bear is blue.
Set7	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The bear of the nun is blue	The bear of the witch is blue	The bear of the nun is blue. The bear of the witch is blue.
Set7	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The nun's brush is blue	The witch's bear is blue	The nun's brush is blue. The witch's bear is blue.
Set7	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The nun's brush is blue	The bear of the witch is blue	The nun's brush is blue. The bear of the witch is blue.
Set7	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The brush of the nun is blue	The witch's bear is blue	The brush of the nun is blue. The witch's bear is blue.
Set7	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The brush of the nun is blue	The bear of the witch is blue	The brush of the nun is blue. The bear of the witch is blue.
Set8	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The wizard's doll is blue	The boy's doll is blue	The wizard's doll is blue. The boy's doll is blue.
Set8	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The wizard's doll is blue	The doll of the boy is blue	The wizard's doll is blue. The doll of the boy is blue.
Set8	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The doll of the wizard is blue	The boy's doll is blue	The doll of the wizard is blue. The boy's doll is blue.
Set8	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The doll of the wizard is blue	The doll of the boy is blue	The doll of the wizard is blue. The doll of the boy is blue.
Set8	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The wizard's rope is blue	The boy's doll is blue	The wizard's rope is blue. The boy's doll is blue.
Set8	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The wizard's rope is blue	The doll of the boy is blue	The wizard's rope is blue. The doll of the boy is blue.
Set8	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The rope of the wizard is blue	The boy's doll is blue	The rope of the wizard is blue. The boy's doll is blue.
Set8	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The rope of the wizard is blue	The doll of the boy is blue	The rope of the wizard is blue. The doll of the boy is blue.
Set9	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The witch's barbecue is green	The pirate's barbecue is green	The witch's barbecue is green. The pirate's barbecue is green.
Set9	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The witch's barbecue is green	The barbecue of the pirate is green	The witch's barbecue is green. The barbecue of the pirate is green.
Set9	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The barbecue of the witch is green	The pirate's barbecue is green	The barbecue of the witch is green. The pirate's barbecue is green.
Set9	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The barbecue of the witch is green	The barbecue of the pirate is green	The barbecue of the witch is green. The barbecue of the pirate is green.
Set9	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The witch's clothespin is green	The pirate's barbecue is green	The witch's clothespin is green. The pirate's barbecue is green.
Set9	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The witch's clothespin is green	The barbecue of the pirate is green	The witch's clothespin is green. The barbecue of the pirate is green.
Set9	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The clothespin of the witch is green	The pirate's barbecue is green	The clothespin of the witch is green. The pirate's barbecue is green.
Set9	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The clothespin of the witch is green	The barbecue of the pirate is green	The clothespin of the witch is green. The barbecue of the pirate is green.
Set10	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The nurse's pineapple is red	The girl's pineapple is red	The nurse's pineapple is red. The girl's pineapple is red.
Set10	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The nurse's pineapple is red	The pinapple of the girl is red	The nurse's pineapple is red. The pinapple of the girl is red.
Set10	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The pineapple of the nurse is red	The girl's pineapple is red	The pineapple of the nurse is red. The girl's pineapple is red.
Set10	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The pineapple of the nurse is red	The pinapple of the girl is red	The pineapple of the nurse is red. The pinapple of the girl is red.
Set10	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The nurse's umbrella is red	The girl's pineapple is red	The nurse's umbrella is red. The girl's pineapple is red.
Set10	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The nurse's umbrella is red	The pinapple of the girl is red	The nurse's umbrella is red. The pinapple of the girl is red.
Set10	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The umbrella of the nurse is red	The girl's pineapple is red	The umbrella of the nurse is red. The girl's pineapple is red.
Set10	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The umbrella of the nurse is red	The pinapple of the girl is red	The umbrella of the nurse is red. The pinapple of the girl is red.
Set11	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The wizard's bomb is red	The nurse's bomb is red	The wizard's bomb is red. The nurse's bomb is red.
Set11	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The wizard's bomb is red	The bomb of the nurse is red	The wizard's bomb is red. The bomb of the nurse is red.
Set11	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The bomb of the wizard is red	The nurse's bomb is red	The bomb of the wizard is red. The nurse's bomb is red.
Set11	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The bomb of the wizard is red	The bomb of the nurse is red	The bomb of the wizard is red. The bomb of the nurse is red.
Set11	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The wizard's cake is red	The nurse's bomb is red	The wizard's cake is red. The nurse's bomb is red.
Set11	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The wizard's cake is red	The bomb of the nurse is red	The wizard's cake is red. The bomb of the nurse is red.
Set11	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The cake of the wizard is red	The nurse's bomb is red	The cake of the wizard is red. The nurse's bomb is red.
Set11	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The cake of the wizard is red	The bomb of the nurse is red	The cake of the wizard is red. The bomb of the nurse is red.
Set12	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's belt is green	The nurse's belt is green	The boy's belt is green. The nurse's belt is green.
Set12	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's belt is green	The belt of the nurse is green	The boy's belt is green. The belt of the nurse is green.
Set12	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The belt of the boy is green	The nurse's belt is green	The belt of the boy is green. The nurse's belt is green.
Set12	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The belt of the boy is green	The belt of the nurse is green	The belt of the boy is green. The belt of the nurse is green.
Set12	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's stone is green	The nurse's belt is green	The boy's stone is green. The nurse's belt is green.
Set12	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's stone is green	The belt of the nurse is green	The boy's stone is green. The belt of the nurse is green.
Set12	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The green of the boy is green	The nurse's belt is green	The green of the boy is green. The nurse's belt is green.
Set12	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The green of the boy is green	The belt of the nurse is green	The green of the boy is green. The belt of the nurse is green.
Set13	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The nurse's fork is green	The girl's fork is green	The nurse's fork is green. The girl's fork is green.
Set13	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The nurse's fork is green	The fork of the girl is green	The nurse's fork is green. The fork of the girl is green.
Set13	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The fork of the nurse is green	The girl's fork is green	The fork of the nurse is green. The girl's fork is green.
Set13	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The fork of the nurse is green	The fork of the girl is green	The fork of the nurse is green. The fork of the girl is green.
Set13	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The nurse's tree is green	The girl's fork is green	The nurse's tree is green. The girl's fork is green.
Set13	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The nurse's tree is green	The fork of the girl is green	The nurse's tree is green. The fork of the girl is green.
Set13	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The tree of the nurse is green	The girl's fork is green	The tree of the nurse is green. The girl's fork is green.
Set13	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The tree of the nurse is green	The fork of the girl is green	The tree of the nurse is green. The fork of the girl is green.
Set14	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's scarf is yellow	The priest's scarf is yellow	The boy's scarf is yellow. The priest's scarf is yellow.
Set14	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's scarf is yellow	The scarf of the priest is yellow	The boy's scarf is yellow. The scarf of the priest is yellow.
Set14	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The scarf of the boy is yellow	The priest's scarf is yellow	The scarf of the boy is yellow. The priest's scarf is yellow.
Set14	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The scarf of the boy is yellow	The scarf of the priest is yellow	The scarf of the boy is yellow. The scarf of the priest is yellow.
Set14	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's saw is yellow	The priest's scarf is yellow	The boy's saw is yellow. The priest's scarf is yellow.
Set14	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's saw is yellow	The scarf of the priest is yellow	The boy's saw is yellow. The scarf of the priest is yellow.
Set14	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The saw of the boy is yellow	The priest's scarf is yellow	The saw of the boy is yellow. The priest's scarf is yellow.
Set14	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The saw of the boy is yellow	The scarf of the priest is yellow	The saw of the boy is yellow. The scarf of the priest is yellow.
Set15	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The priest's giraffe is red	The pirate's giraffe is red	The priest's giraffe is red. The pirate's giraffe is red.
Set15	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The priest's giraffe is red	The giraffe of the pirate is red	The priest's giraffe is red. The giraffe of the pirate is red.
Set15	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The giraffe of the priest is red	The pirate's giraffe is red	The giraffe of the priest is red. The pirate's giraffe is red.
Set15	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The giraffe of the priest is red	The giraffe of the pirate is red	The giraffe of the priest is red. The giraffe of the pirate is red.
Set15	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The priest's pillow is red	The pirate's giraffe is red	The priest's pillow is red. The pirate's giraffe is red.
Set15	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The priest's pillow is red	The giraffe of the pirate is red	The priest's pillow is red. The giraffe of the pirate is red.
Set15	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The pillow of the priest is red	The pirate's giraffe is red	The pillow of the priest is red. The pirate's giraffe is red.
Set15	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The pillow of the priest is red	The giraffe of the pirate is red	The pillow of the priest is red. The giraffe of the pirate is red.
Set16	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The priest's jump rope is yellow	The boy's jump rope is yellow	The priest's jump rope is yellow. The boy's jump rope is yellow.
Set16	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The priest's jump rope is yellow	The jump rope of the boy is yellow	The priest's jump rope is yellow. The jump rope of the boy is yellow.
Set16	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The jump rope of the priest is yellow	The boy's jump rope is yellow	The jump rope of the priest is yellow. The boy's jump rope is yellow.
Set16	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The jump rope of the priest is yellow	The jump rope of the boy is yellow	The jump rope of the priest is yellow. The jump rope of the boy is yellow.
Set16	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The priest's trophy is yellow	The boy's jump rope is yellow	The priest's trophy is yellow. The boy's jump rope is yellow.
Set16	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The priest's trophy is yellow	The jump rope of the boy is yellow	The priest's trophy is yellow. The jump rope of the boy is yellow.
Set16	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The trophy of the priest is yellow	The boy's jump rope is yellow	The trophy of the priest is yellow. The boy's jump rope is yellow.
Set16	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The trophy of the priest is yellow	The jump rope of the boy is yellow	The trophy of the priest is yellow. The jump rope of the boy is yellow.
Set17	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The witch's glass is blue	The nurse's glass is blue	The witch's glass is blue. The nurse's glass is blue.
Set17	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The witch's glass is blue	The glass of the nurse is blue	The witch's glass is blue. The glass of the nurse is blue.
Set17	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The glass of the witch is blue	The nurse's glass is blue	The glass of the witch is blue. The nurse's glass is blue.
Set17	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The glass of the witch is blue	The glass of the nurse is blue	The glass of the witch is blue. The glass of the nurse is blue.
Set17	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The witch's axe is blue	The nurse's glass is blue	The witch's axe is blue. The nurse's glass is blue.
Set17	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The witch's axe is blue	The glass of the nurse is blue	The witch's axe is blue. The glass of the nurse is blue.
Set17	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The axe of the witch is blue	The nurse's glass is blue	The axe of the witch is blue. The nurse's glass is blue.
Set17	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The axe of the witch is blue	The glass of the nurse is blue	The axe of the witch is blue. The glass of the nurse is blue.
Set18	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The girl's bag is green	The nurse's bag is green	The girl's bag is green. The nurse's bag is green.
Set18	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The girl's bag is green	The bag of the nurse is green	The girl's bag is green. The bag of the nurse is green.
Set18	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The bag of the girl is green	The nurse's bag is green	The bag of the girl is green. The nurse's bag is green.
Set18	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The bag of the girl is green	The bag of the nurse is green	The bag of the girl is green. The bag of the nurse is green.
Set18	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The girl's screw is green	The nurse's bag is green	The girl's screw is green. The nurse's bag is green.
Set18	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The girl's screw is green	The bag of the nurse is green	The girl's screw is green. The bag of the nurse is green.
Set18	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The screw of the girl is green	The nurse's bag is green	The screw of the girl is green. The nurse's bag is green.
Set18	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The screw of the girl is green	The bag of the nurse is green	The screw of the girl is green. The bag of the nurse is green.
Set19	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's guitar is green	The wizard's guitar is green	The boy's guitar is green. The wizard's guitar is green.
Set19	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's guitar is green	The guitar of the wizard is green	The boy's guitar is green. The guitar of the wizard is green.
Set19	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The guitar of the boy is green	The wizard's guitar is green	The guitar of the boy is green. The wizard's guitar is green.
Set19	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The guitar of the boy is green	The guitar of the wizard is green	The guitar of the boy is green. The guitar of the wizard is green.
Set19	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The boy's donkey is green	The wizard's guitar is green	The boy's donkey is green. The wizard's guitar is green.
Set19	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The boy's donkey is green	The guitar of the wizard is green	The boy's donkey is green. The guitar of the wizard is green.
Set19	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The donkey of the boy is green	The wizard's guitar is green	The donkey of the boy is green. The wizard's guitar is green.
Set19	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The donkey of the boy is green	The guitar of the wizard is green	The donkey of the boy is green. The guitar of the wizard is green.
Set20	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The witch's turtle is blue	The priest's turtle is blue	The witch's turtle is blue. The priest's turtle is blue.
Set20	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The witch's turtle is blue	The turtle of the priest is blue	The witch's turtle is blue. The turtle of the priest is blue.
Set20	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The turtle of the witch is blue	The priest's turtle is blue	The turtle of the witch is blue. The priest's turtle is blue.
Set20	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The turtle of the witch is blue	The turtle of the priest is blue	The turtle of the witch is blue. The turtle of the priest is blue.
Set20	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The witch's airplane is blue	The priest's turtle is blue	The witch's airplane is blue. The priest's turtle is blue.
Set20	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The witch's airplane is blue	The turtle of the priest is blue	The witch's airplane is blue. The turtle of the priest is blue.
Set20	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The airplane of the witch is blue	The priest's turtle is blue	The airplane of the witch is blue. The priest's turtle is blue.
Set20	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The airplane of the witch is blue	The turtle of the priest is blue	The airplane of the witch is blue. The turtle of the priest is blue.
Set21	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The wizard's hand is yellow	The priest's hand is yellow	The wizard's hand is yellow. The priest's hand is yellow.
Set21	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The wizard's hand is yellow	The hand of the priest is yellow	The wizard's hand is yellow. The hand of the priest is yellow.
Set21	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The hand of wizard is yellow	The priest's hand is yellow	The hand of wizard is yellow. The priest's hand is yellow.
Set21	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The hand of wizard is yellow	The hand of the priest is yellow	The hand of wizard is yellow. The hand of the priest is yellow.
Set21	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The wizard's box is yellow	The priest's hand is yellow	The wizard's box is yellow. The priest's hand is yellow.
Set21	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The wizard's box is yellow	The hand of the priest is yellow	The wizard's box is yellow. The hand of the priest is yellow.
