Set	PrimeType	PrimeLanguage	PrimeSentence	TargetSentence	TargetType	TargetLanguage	ExtraCondition	FullSentence
Set20	Active_Prime	English_Prime	The squirrel pinches the bear.	The dog chases the duck.	Active_Target	English_Target	NA	The squirrel pinches the bear. The dog chases the duck.
Set20	Active_Prime	English_Prime	The squirrel pinches the bear.	The duck is chased by the dog.	Passive_Target	English_Target	NA	The squirrel pinches the bear. The duck is chased by the dog.
Set20	Passive_Prime	English_Prime	The bear is pinched by the squirrel.	The dog chases the duck.	Active_Target	English_Target	NA	The bear is pinched by the squirrel. The dog chases the duck.
Set20	Passive_Prime	English_Prime	The bear is pinched by the squirrel.	The duck is chased by the dog.	Passive_Target	English_Target	NA	The bear is pinched by the squirrel. The duck is chased by the dog.
Set21	Active_Prime	English_Prime	The baby hits the policeman.	The girl kisses the boy.	Active_Target	English_Target	NA	The baby hits the policeman. The girl kisses the boy.
Set21	Active_Prime	English_Prime	The baby hits the policeman.	The boy is kissed by the girl.	Passive_Target	English_Target	NA	The baby hits the policeman. The boy is kissed by the girl.
Set21	Passive_Prime	English_Prime	The policeman is hit by the baby.	The girl kisses the boy.	Active_Target	English_Target	NA	The policeman is hit by the baby. The girl kisses the boy.
Set21	Passive_Prime	English_Prime	The policeman is hit by the baby.	The boy is kissed by the girl.	Passive_Target	English_Target	NA	The policeman is hit by the baby. The boy is kissed by the girl.
Set22	Active_Prime	English_Prime	The mother hugs the bride.	The girl kicks the clown.	Active_Target	English_Target	NA	The mother hugs the bride. The girl kicks the clown.
Set22	Active_Prime	English_Prime	The mother hugs the bride.	The clown is kicked by the girl.	Passive_Target	English_Target	NA	The mother hugs the bride. The clown is kicked by the girl.
Set22	Passive_Prime	English_Prime	The bride is hugged by the mother.	The girl kicks the clown.	Active_Target	English_Target	NA	The bride is hugged by the mother. The girl kicks the clown.
Set22	Passive_Prime	English_Prime	The bride is hugged by the mother.	The clown is kicked by the girl.	Passive_Target	English_Target	NA	The bride is hugged by the mother. The clown is kicked by the girl.
Set23	Active_Prime	English_Prime	The grandmother kisses the grandson.	The woman hits the man.	Active_Target	English_Target	NA	The grandmother kisses the grandson. The woman hits the man.
Set23	Active_Prime	English_Prime	The grandmother kisses the grandson.	The man is hit by the woman.	Passive_Target	English_Target	NA	The grandmother kisses the grandson. The man is hit by the woman.
Set23	Passive_Prime	English_Prime	The grandson is kissed by the grandmother.	The woman hits the man.	Active_Target	English_Target	NA	The grandson is kissed by the grandmother. The woman hits the man.
Set23	Passive_Prime	English_Prime	The grandson is kissed by the grandmother.	The man is hit by the woman.	Passive_Target	English_Target	NA	The grandson is kissed by the grandmother. The man is hit by the woman.
Set24	Active_Prime	English_Prime	The fish hits the duck.	The wolf hugs the cat.	Active_Target	English_Target	NA	The fish hits the duck. The wolf hugs the cat.
Set24	Active_Prime	English_Prime	The fish hits the duck.	The cat is hugged by the wolf.	Passive_Target	English_Target	NA	The fish hits the duck. The cat is hugged by the wolf.
Set24	Passive_Prime	English_Prime	The duck is hit by the fish.	The wolf hugs the cat.	Active_Target	English_Target	NA	The duck is hit by the fish. The wolf hugs the cat.
Set24	Passive_Prime	English_Prime	The duck is hit by the fish.	The cat is hugged by the wolf.	Passive_Target	English_Target	NA	The duck is hit by the fish. The cat is hugged by the wolf.
