raw,sentids,filename,img_id,positive_sentence,negative_sentence,label,split,num_labels
"[""A woman scantily dressed in handsome homemade-looking clothing sits on a wooden step and reads Brazilian author Coelho."", ""A woman wearing a scarf and reading a thin book reclines on a wooden structure."", ""A woman wearing a red beaded necklace sits on a wooden deck while reading."", ""Girl in odd clothes reading a brochure while sitting on a wooden porch."", ""A woman in a black head piece, sitting down and reading.""]","[1615, 1616, 1617, 1618, 1619]",1107716222.jpg,323,A woman reads a book.,A book is read by a woman.,0,train,8
"[""People are standing around an American flag that is spread out, facing the wrong direction."", ""Four people are holding an american flag in the middle of a bunch of people."", ""A parade of people walk the street carrying the American flag."", ""A group of people spread out an American flag for all to see."", ""A group of people surrounding the American flag.""]","[1540, 1541, 1542, 1543, 1544]",110590591.jpg,308,People hold an American flag.,An American flag is held by people.,0,train,8
"[""A boy wearing a white t-shirt walks on the grass and carries a soccer ball."", ""A boy walks with a ball tucked under his arm."", ""A boy walks with a soccer ball near a fence."", ""Small boy carries a soccer ball on a field."", ""A boy carrying a soccer ball.""]","[1525, 1526, 1527, 1528, 1529]",1104133405.jpg,305,A boy carries a soccer ball.,A soccer ball is carried by a boy.,0,train,8
"[""Two men in black clothes at a meat market showing a red meat while workers in blue look on."", ""Customers browse a meat counter while employees wait."", ""A man in a blue t-shirt buying something at a deli."", ""Two men in black hats buying food at a counter."", ""2 men stand in line at a restaurant.""]","[2810, 2811, 2812, 2813, 2814]",118802644.jpg,562,Men buy food.,Food is bought by men.,0,test,6
"[""A couple is sitting on the sand with their feet in the water, and they are shaking hands."", ""A man and woman wearing sunglasses sit halfway in the water."", ""A boy and a girl holding hands while sitting on a shore."", ""A couple with sunglasses are laying on the beach."", ""A blond holding hands with a guy in the sand.""]","[1520, 1521, 1522, 1523, 1524]",1104087374.jpg,304,A couple holds hands.,Hands are held by a couple.,0,train,8
"[""A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street."", ""A woman is sitting by her dried flower display at an outside market."", ""A woman sells flowers and incense at the market."", ""A lady is sitting down tending to her stand."", ""A woman in an apron shopping at a market.""]","[1505, 1506, 1507, 1508, 1509]",110269384.jpg,301,A woman sells flowers and incense.,Flowers and incense were sold by a woman.,0,test,10
"[""A man wearing a white tank top sings into a microphones on a stage with a crowd watching."", ""A man with a microphone is singing to people."", ""A man on stage singing into a microphone."", ""A singer on a stage with a white shirt."", ""A singer on stage singing to fans.""]","[1485, 1486, 1487, 1488, 1489]",1101923011.jpg,297,A man sings into a microphone.,A microphone is used by a man.,0,train,2
"[""A blond woman wearing glasses and a gray sweatshirt is cutting something with scissors."", ""A woman wearing glasses is trimming her nails with a pair of scissors."", ""A woman with dirty blond-hair and glasses is cutting something."", ""A blond woman in a gray sweatshirt is cutting with scissors."", ""A woman cutting construction paper for a detailed project.""]","[2820, 2821, 2822, 2823, 2824]",118854260.jpg,564,A woman cuts something.,Something is cut by a woman.,0,train,8
"[""There are two men in orange life vests signaling to a cruise ship docking at a pier."", ""Two dock workers and small boat guiding a cruise ship to place to tie up on dock."", ""Two men in orange and blue safety gear stand on the dock guiding a boat inward."", ""A large ship approaching the dock with two men awaiting its arrival."", ""Stevedores are waiting for a boat to dock.""]","[1475, 1476, 1477, 1478, 1479]",1101207553.jpg,295,Men guide a ship.,A ship is guided by men.,0,train,6
"[""A mother and three children collecting garbage from a blue and white garbage can on the street."", ""A woman and three children are picking something out of a blue trashcan."", ""Three young children stand around a blue and white barrel."", ""Four children are standing around a blue and white barrel."", ""A group of children look into a barrel.""]","[1465, 1466, 1467, 1468, 1469]",109982467.jpg,293,Children look into a barrel.,A barrel is looked into by children.,0,train,4
"[""A man is cooking a square pancake : he lifts it with his fingers and a spatula to check to see if it is done."", ""There is a pancake pan cooking a pancake and a man is rolling it over on its opposite side with a spatula."", ""A man's hand is shown helping a spatula to flip a pancake from a square frying pan in a messy kitchen."", ""Two hands are flipping some food in a cast iron pan, with a spatula."", ""A man makes a perfect, golden crepe.""]","[1460, 1461, 1462, 1463, 1464]",1099434461.jpg,292,A man cooks a pancake.,A pancake is cooked by a man.,0,test,10
"[""A woman is at an ice cream shop and she is waiting for the man to scoop her ice cream."", ""A woman is awaiting her ice cream as a young teenage boy scoops it."", ""A woman is watching as a guy is scooping ice cream from a freezer."", ""A man scoops out ice cream for a female customer in a cafe."", ""A woman watches as a young man scoops ice cream for her.""]","[1530, 1531, 1532, 1533, 1534]",1104881373.jpg,306,A man scoops an ice cream.,An ice cream is scooped by a man.,0,train,8
"[""A musician plays his electric guitar surrounded by sound equipment."", ""A man wearing purple clothing is playing a guitar on a stage."", ""A musician is posing while playing an odd-shaped guitar."", ""A man dressed in a funky outfit is playing guitar."", ""A black-haired man plays a guitar.""]","[1620, 1621, 1622, 1623, 1624]",11079715.jpg,324,A man plays a guitar.,A guitar is played by a man.,0,test,10
"[""A man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him."", ""A young guy, probably in his early twenties, shows off his culinary skills with pride."", ""A blond man shows off his freshly baked bread with a wide smile."", ""A teenage boy stands in a backyard holding a tray of bread."", ""A man shows what he has baked.""]","[2785, 2786, 2787, 2788, 2789]",1187252153.jpg,557,A man holds a tray.,A tray is held by a man.,0,train,10
"[""Two hockey teams are shown at the goal where the white team is stopping a goal being made by the blue team."", ""A hockey game is being played and a hockey player named \""David\"" is trying to score against the goalie."", ""An ice hockey goalie is trying to protect the net from players scoring a goal."", ""A hockey player attempting to score against a goalie as a defenceman watches."", ""A hockey goalie is trying to prevent a goal from the opposing team.""]","[1625, 1626, 1627, 1628, 1629]",110802332.jpg,325,A goalie stops a goal.,A goal is stopped by a goalie.,0,train,6
"[""Two men in construction vests are working on the side of a street with machines."", ""Two construction workers are working on repairing a cobblestone walkway."", ""Two construction workers operate a machine that steams the street."", ""Workman are completing repairs on a city street."", ""Two construction workers work on a road.""]","[1820, 1821, 1822, 1823, 1824]",11214470.jpg,364,Workers repair a street.,A street is repaired by workers.,0,train,8
"[""A man in jeans and a yellow safety jacket is working on bricks in the ground."", ""A man with a safety vest is kneeling down and cleaning the bricks."", ""A man in a yellow vest and jeans is caulking a sidewalk."", ""A man with a router working on the sidewalk."", ""A man grinding stones with a tool.""]","[1815, 1816, 1817, 1818, 1819]",11214370.jpg,363,A man works on bricks.,Bricks are worked on by a man.,0,train,8
"[""One gu, wearing blue gloves and a brown vest, with a large camera pointed toward a Conquest trailer with a solar cell at his feet."", ""A man looks through a large camera-like device in a field near a camper and some parked vehicles."", ""There is a man in black standing near vehicles and a camper, setting up video equipment."", ""A man under the black hood of a camera, standing close to vehicles and an RV."", ""A man looking through telescope at a trailer park.""]","[1755, 1756, 1757, 1758, 1759]",1118168796.jpg,351,A man uses a camera.,A camera is used by a man.,0,train,8
"[""A little boy wearing a purple shirt and blue jeans kicking a ball on the grass."", ""A child in jeans and dark shirt kicks a colorful ball outside."", ""A young male is kicking a multicolored ball."", ""A little boy kicking a rubber ball."", ""A small child kicking a ball.""]","[2760, 2761, 2762, 2763, 2764]",118668756.jpg,552,A boy kicks a ball.,A ball is kicked by a boy.,0,train,8
"[""The ball boys are waiting on the side lines of the tennis court while they watch the lady hitting the ball."", ""A tennis match is in progress with ball chasers on the sidelines with an audience in the background."", ""A game of tennis is shown with one of the female players about to hit the ball."", ""A woman in a white shirt and pink skirt is about to hit a tennis ball."", ""Two boys are ready to receive a ball at a tennis match.""]","[1740, 1741, 1742, 1743, 1744]",111796099.jpg,348,A woman hits a ball.,A ball is hit by a woman.,0,train,6
"[""Black and white bird standing on hand of someone holding sunflower seeds"", ""The small bird is clinging to a finger of the hand holding the seeds."", ""A black and white bird eating seeds out of someone's hand"", ""A small bird sits in a person's hand and eats seeds."", ""A black and white bird standing on a hand.""]","[1735, 1736, 1737, 1738, 1739]",111766423.jpg,347,A bird eats seeds.,Seeds are eaten by a bird.,0,train,14
"[""People are eating in a cafeteria with a wood beam and glass ceiling."", ""People sitting in a restaurant eating and one is reading the paper."", ""A restaurant filled with chairs and consumers."", ""People sitting and eating inside a diner."", ""Lots of people eating in a restaurant.""]","[1725, 1726, 1727, 1728, 1729]",111671162.jpg,345,People eat food.,Food is eaten by people.,0,train,4
"[""A black dog runs along the beach and jumps over a wood barrior."", ""A dog jumping over a small wall at a beach near the water."", ""A black dog is jumping over a log along a beach."", ""An animal is running on the beach."", ""A dog is running on the beach.""]","[1720, 1721, 1722, 1723, 1724]",1115679311.jpg,344,A dog jumps over a barrier.,A barrier is jumped over by a dog.,0,train,6
"[""This picture of a man reading is tilted."", ""A man looks at a book on a sunny day."", ""A man is reading a small book."", ""A man reading a book outside."", ""Man reading book outdoors.""]","[2765, 2766, 2767, 2768, 2769]",1187077747.jpg,553,A man reads a book.,A book is read by a man.,0,train,8
"[""A climber wearing a blue helmet and headlamp is attached to a rope on the rock face."", ""Person with blue helmet and purple pants is rock climbing."", ""A woman in purple snakeskin pants climbs a rock."", ""A rock climber climbs a large rock."", ""A man climbs a rocky wall.""]","[1710, 1711, 1712, 1713, 1714]",111537222.jpg,342,A climber climbs a rock.,A rock is climbed by a climber.,0,train,4
"[""The person has a striped shirt on and is holding on to a rope on a mountain."", ""A kid rock climbing against the backdrop of a green valley"", ""The person in the striped shirt is mountain climbing."", ""A woman in a striped shirt climbs up a mountain."", ""A young man climbs a rocky hill.""]","[1700, 1701, 1702, 1703, 1704]",111497985.jpg,340,A person climbs a mountain.,A mountain is climbed by a person.,0,train,6
"[""Several young people are standing around drinking beverages at some kind of outdoors gathering with food."", ""There are many people wearing either jackets or layers drinking beer or diet Coke."", ""A group of people wearing warm clothes are having a party outside."", ""People enjoy a gathering with Pabst Blue Ribbon and Diet Coke."", ""A gathering of people drinking beer and talking""]","[1695, 1696, 1697, 1698, 1699]",111419142.jpg,339,People drink beverages.,Beverages are drunk by people.,0,train,4
"[""A man and two women are playing a board game at a wooden table while drinking alcohol."", ""Three people around a table playing a board game and drinking beer."", ""Two ladies and a man playing a card game and drinking beer."", ""Three people are sitting around a table playing a game."", ""A group of people playing a board game.""]","[1690, 1691, 1692, 1693, 1694]",111413806.jpg,338,People play a board game.,A board game is played by people.,0,train,6
"[""A man in a blue workers outfit with a yellow construction hat examines the side of a brick building from the top of a ladder."", ""A man with a yellow hard hat is standing on a ladder that is leaned up against a building."", ""A man is standing at the top of a ladder against a building."", ""A man on a ladder wearing blue jacket and a blue jeans"", ""A man is high about doing work on a building.""]","[2770, 2771, 2772, 2773, 2774]",118707970.jpg,554,A man examines a building.,A building is examined by a man.,0,train,6
"[""Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders."", ""Three young men, two riding a motorbike on a busy street, looking at something and smiling."", ""Three oriental men are riding on a red moped scooter in the city with many people."", ""A group of motorcyclist are ridding through the streets."", ""Boys on a motor-scooter riding down a busy urban street.""]","[1685, 1686, 1687, 1688, 1689]",111390902.jpg,337,Men ride a motorcycle.,A motorcycle is ridden by men.,0,train,6
"[""Five men, one wearing a white shirt standing on something, hanging up a picture of a child."", ""A person is hanging up pictures of women with a few onlookers watching surrounded by bikes."", ""A man in a white shirt hangs a painting in a run down store while other men watch."", ""There are four Eastern guys working on and hanging pictures of humans."", ""A man is putting up a poster in front of a shop.""]","[1670, 1671, 1672, 1673, 1674]",111285749.jpg,334,A man hangs a picture.,A picture is hung by a man.,0,train,8
"[""A kid wearing a Gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him."", ""A woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face."", ""A lady and a boy who is having ice cream are sitting together."", ""A child finishing an ice cream cone mugs for the camera."", ""A boy in a Gap hat is making a silly face.""]","[1665, 1666, 1667, 1668, 1669]",1112334131.jpg,333,A boy holds an ice cream.,An ice cream is held by a boy.,0,train,6
"[""A toddler sitting on a pile of rocks holding a rock at a beach."", ""A baby is sitting on and playing with smooth rocks."", ""A baby is stacking rocks on the beach."", ""A small boy is playing with rocks"", ""Toddler sits on a pile of rocks.""]","[1660, 1661, 1662, 1663, 1664]",1112212364.jpg,332,A toddler holds a rock.,A rock is held by a toddler.,0,train,6
"[""A festival is going on right outside a lake, with several drummers in red shirts and a man on stilts playing the drums."", ""A group of people wearing red shirts and holding drums is being photographed at the boardwalk."", ""A group of people in red play the drums while a performer walks on stilts by the river."", ""A man on stilts stands in front of a line of drummers."", ""A crowd of people in a parade.""]","[2780, 2781, 2782, 2783, 2784]",118717792.jpg,556,People play drums.,Drums are played by people.,0,train,8
"[""Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps."", ""A man and a woman are performing with fire in front of a crowd in an urban concrete park."", ""A male and female fire performer, work their craft in front of an audience."", ""Street performers being watched by an interested crowd."", ""Two people performing tricks with fire for a crowd.""]","[1650, 1651, 1652, 1653, 1654]",111069375.jpg,330,Performers use flaming torches.,Flaming torches are used by performers.,0,test,10
"[""A brown and white dog catches a Frisbee in it mouth in front of a group of people."", ""A brown and white dog jumping up to catch a Frisbee while an audience watches."", ""A black and white Border Collie catches a Frisbee in front of an audience."", ""An agile dog catches a Frisbee while a crowd of onlookers watches closely."", ""A dog jumps to catch a Frisbee, while many people watch.""]","[1640, 1641, 1642, 1643, 1644]",1110208841.jpg,328,A dog catches a Frisbee.,A Frisbee is caught by a dog.,0,test,8
"[""A girl is sitting on the beach and appears to be approaching a hit on the head by a plastic inflated hammer."", ""A woman with dark hair wearing a bikini is sitting on a beach."", ""A young woman, sitting in the sand, has her eyes closed."", ""A woman on the beach getting hit with a blow up hammer."", ""A woman sitting on the beach closes her eyes.""]","[1455, 1456, 1457, 1458, 1459]",1099034049.jpg,291,A woman sits on the beach.,A beach is sat on by a woman.,0,train,6
"[""A man wearing a yellow shirt and tan pants plays golf outside while being watched by other people."", ""A guy in a yellow shirt and light brown slacks is playing golf while the crowd watch."", ""Behind the fence spectators are looking at the golfer with the club in his hand."", ""Tiger woods putts a golf ball toward a hole."", ""Tiger woods about to make a putt""]","[1835, 1836, 1837, 1838, 1839]",1122177096.jpg,367,A man plays golf.,Golf is played by a man.,0,train,8
"[""A woman wearing a pink sweater and eyeglasses is wiping a wooden table with a pink sponge."", ""A woman in a pink sweater and an apron, cleaning a table with a sponge."", ""A lady with blond-hair and glasses works hard to clean up her table."", ""A woman in a pink sweater cleaning a dining table."", ""A woman in a pink shirt cleaning a wooden table.""]","[2825, 2826, 2827, 2828, 2829]",118865844.jpg,565,A woman wipes a table.,A table is wiped by a woman.,0,test,12
"[""A person is riding an orange ATV in a large empty field."", ""A man on a four wheeler is flying through the air."", ""A four wheeler jumping in an empty field."", ""Man jumping with all terrain vehicle"", ""Man on an ATV catching air!""]","[1445, 1446, 1447, 1448, 1449]",109823395.jpg,289,A person rides an ATV.,An ATV is ridden by a person,0,train,6
"[""A homeless man holding up a sign with his request for money and his reasons for asking."", ""A man holding a cardboard sign is asking for money from people passing."", ""A man with a beard and a hat is begging for money from people."", ""A homeless man holding a sign."", ""Homeless man holding a sign.""]","[2890, 2891, 2892, 2893, 2894]",1192725687.jpg,578,A man holds a sign.,A sign is held by a man.,0,train,4
"[""A girl sitting on the steps of a building wearing a green short-sleeve shirt, blue jeans, flip-flops holding a cup and writing in a journal with her purse sitting at her feet."", ""A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork."", ""A woman is sitting on the steps in front of a large black door, writing in a notebook."", ""A woman sitting down on steps, writing something down with a door behind her."", ""A girl holding a coffee cup is writing outside.""]","[1240, 1241, 1242, 1243, 1244]",1089354362.jpg,248,A girl writes in a journal.,A journal is written in by a girl.,0,train,8
"[""An Asian man in spectacles and a t-shirt preparing some food."", ""A man working diligently while sitting at a table."", ""Man sitting using tool at a table in his home."", ""Indian man whittles in his own home."", ""A man is sharpening a knife.""]","[1230, 1231, 1232, 1233, 1234]",1089059626.jpg,246,A man prepares food.,Food is prepared by a man.,0,train,12
"[""A lone skier is making their way up a mountain."", ""Skiiers at the top of a snow covered hill."", ""Two people are on a snow-covered mountain."", ""Two people climbing up a snowy mountain."", ""Two hikers climbing a snowy hill.""]","[1225, 1226, 1227, 1228, 1229]",108899015.jpg,245,A skier climbs a mountain.,A mountain is climbed by a skier.,0,train,6
"[""Two people wearing yellow jackets crosscountry skiing."", ""Two skiers are making their way through woodland."", ""Two skiers are sliding down a trail in the woods."", ""Two men are skiing in the snow in a wooded area."", ""Skiiers walking up the hill through a forest.""]","[1220, 1221, 1222, 1223, 1224]",108898978.jpg,244,Skiers ski through woodland.,Woodland is skied through by skiers.,0,train,4
"[""A young girl rides a unicycle next to another riding a scooter on a busy street."", ""The girl on the unicycle reaches out for the child on the scooter."", ""A girl rides a unicycle as another rides a scooter next to her."", ""A girl rides a unicycle with a child who rides a scooter."", ""There is a girl on a unicycle and a child on a scooter.""]","[2895, 2896, 2897, 2898, 2899]",1193116658.jpg,579,A girl rides a unicycle.,A unicycle is ridden by a girl.,0,test,8
"[""An older woman stir fries vegetables in a home kitchen, with a counter crowded with jars and bottles in the background."", ""An Indian woman in traditional clothing cooks vegetables on her stove."", ""An elderly woman is cooking dinner in a frying pan."", ""An elderly woman pan frying food in a kitchen."", ""A white-haired woman in cooking vegetables.""]","[1210, 1211, 1212, 1213, 1214]",1088385559.jpg,242,A woman stir fries vegetables.,Vegetables are stir fried by a woman.,0,train,8
"[""Several children playing on a Polaris vehicle outdoors."", ""The children played on the four wheeler in the field."", ""A family playing on a tractor on a beautiful day"", ""The four kids are riding on an ATV in a field."", ""Children ride a tractor in a field.""]","[1205, 1206, 1207, 1208, 1209]",1087539207.jpg,241,Children ride a tractor.,A tractor is ridden by children.,0,test,8
"[""A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab, another red crustacean held in his hand while another man sits and holds some food behind him."", ""A man wearing a bib with a red crab on it is trying to decide if he wants to eat a boiled crab."", ""A mixed sex group wear lobster bibs and wield mallets as they dine on crab at a restaurant."", ""A man wearing a plastic bib with a crab on it, holds up a wooden hammer."", ""A gentleman trying to open a crab leg.""]","[2905, 2906, 2907, 2908, 2909]",119364730.jpg,581,A man holds a hammer.,A hammer is held by a man.,0,train,4
"[""People walk across a street as utility workers fix a light."", ""Many people are crossing a street in a large city."", ""People are crossing a city street intersection."", ""Pedestrians cross the street at a red light."", ""People crossing a city street.""]","[1245, 1246, 1247, 1248, 1249]",108957912.jpg,249,People cross a street.,A street is crossed by people.,0,train,6
"[""Looks like everyone is getting good gas mileage here with all these beautiful scooters!"", ""Dozens of motor scooters are arranged here in an orderly fashion."", ""Many scooters are parked together on the sidewalk."", ""Several Japanese motorcycles are lined up."", ""A lot of motorcycles lined up in Asia.""]","[1180, 1181, 1182, 1183, 1184]",1084527029.jpg,236,People ride scooters.,Scooters are ridden by people.,0,train,4
"[""A woman with red-brown hair and dark painted fingernails is carefully applying mascara."", ""A woman with reddish hair applies mascara to her eyelashes."", ""A woman is carefully applying mascara to her eyelashes."", ""A woman applies mascara to her eyelash."", ""A woman is applying mascara.""]","[1165, 1166, 1167, 1168, 1169]",1083240835.jpg,233,A woman applies mascara.,Mascara is applied by a woman.,0,test,8
"[""A man playing a guitar and a man dancing are entertaining a couple sitting on a ledge by the street."", ""A man playing a guitar while a couple is listening and watching another man dancing to the music."", ""A street performers plays guitar while a man dances and a couple watches."", ""Two people listen to a man playing guitar while another man dances."", ""A couple listening to performers on the street.""]","[2920, 2921, 2922, 2923, 2924]",1195966967.jpg,584,A man plays a guitar.,A guitar is played by a man.,0,train,6
"[""A construction worker in a neon vest is working with electrical equipment while sparks fly."", ""A man in a face mask and high visibility vest working on a train track."", ""A woman with an orange and gray shirt is fixing something."", ""A man fixing the road with his equipment."", ""He is working in an orange vest.""]","[1160, 1161, 1162, 1163, 1164]",1082608010.jpg,232,A woman fixes something.,Something is fixed by a woman.,0,train,4
"[""There are workers laying out the tracks for a trolley."", ""Men in orange vests are laying train track down."", ""Men wearing orange vests working on a railroad."", ""A group of men work on some streetcar rails."", ""Men in safety vests are working on a track.""]","[1155, 1156, 1157, 1158, 1159]",1082478946.jpg,231,Men lay train track.,Train track is laid by men.,0,train,6
"[""A large brown dog is pushing a small Boston terrier with his face while anouther dog watches."", ""There are three dogs starring at a ball in the middle of them."", ""A large skinny dog stands near two smaller dogs in the dirt."", ""A bulldog, a sheepdog, and a boxer standing in a yard."", ""Three dogs of various sizes.""]","[1145, 1146, 1147, 1148, 1149]",1082252566.jpg,229,A dog pushes a terrier.,A terrier is pushed by a dog.,0,test,4
"[""A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads, a microwave and the chalkboard menu up on the wall."", ""Woman wearing a yellow hat, pink shirt, and red apron is holding food in a kitchen."", ""Employee in pink shirt smiles for camera inside a restaurant kitchen."", ""A woman holding a bowl of food in a kitchen."", ""Women in store happily holding some food.""]","[1140, 1141, 1142, 1143, 1144]",1082250005.jpg,228,A woman holds food.,Food is held by a woman.,0,train,4
"[""A man kneels on the ground doing some sort of project on his own."", ""Woman with blue gloves working on the sidewalk with some cleaner"", ""A short, brown hair girl is assembling a pink roof cover."", ""A woman assembles a white metal frame on the sidewalk."", ""A young woman sands down an old shelf.""]","[1135, 1136, 1137, 1138, 1139]",1082223338.jpg,227,A girl assembles a cover.,A cover is assembled by a girl.,0,train,4
"[""Two gentlemen in baseball caps and shirts, work on the engine of an old, rusted VW beetle."", ""An older guy looking at a classic, rustic, volkswagen beetle."", ""Two men working on a yellow Volkswagen beetle."", ""Two men looking at a beat up old car."", ""Two men are working on an old car.""]","[1130, 1131, 1132, 1133, 1134]",1082110795.jpg,226,A guy looks at a car.,A car is looked at by a guy.,0,train,4
"[""A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track."", ""Several workers in orange vests are repairing tram rails, as onlookers stand by."", ""Workers wearing reflective vests working near a train car."", ""Rail workers working on train tracks in the city."", ""There are laborers working on a train track.""]","[1125, 1126, 1127, 1128, 1129]",1081595465.jpg,225,Workers assemble a track.,A track is assembled by workers.,0,train,4
"[""A woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness."", ""A woman in blue shorts and a white shirt is indoor rock climbing."", ""The girl is in a harness, climbing rocks."", ""Woman climbing an artificial rock wall."", ""The girl is climbing a rock wall.""]","[1175, 1176, 1177, 1178, 1179]",1084104085.jpg,235,A woman climbs a wall.,A wall is climbed by a woman.,0,train,6
"[""Six males playing a game in the sand with wooden paddles."", ""Group of young men playing cricket in a dirt field."", ""Six west Asian youth play cricket on a dirt pitch."", ""A crowd of boys play cricket in an open sand lot."", ""Children playing cricket in a dry desert area""]","[1260, 1261, 1262, 1263, 1264]",109083036.jpg,252,Youth play cricket.,Cricket is played by youth.,0,train,6
"[""A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain."", ""A young blond woman sitting atop a brown draft horse in the snowy mountains."", ""A woman rides a horse near a frozen lake in the winter time."", ""Woman n blue jacket sits on daft horse near a frozen lake."", ""A woman in a blue jacket rides a brown pony near water.""]","[1275, 1276, 1277, 1278, 1279]",109202756.jpg,255,A woman rides a horse.,A horse is ridden by a woman.,0,train,6
"[""Two golden brown horses pull a sleigh driven by a woman in a blue coat."", ""Two horses pull a carriage driven by a woman over snow covered ground."", ""Two horses pulling a sled steered by a smiling blond woman."", ""Two draft horses pull a cart through the snow."", ""Two horses are pulling a woman in a cart.""]","[1280, 1281, 1282, 1283, 1284]",109202801.jpg,256,Horses pull a cart.,A cart is pulled by horses.,0,train,6
"[""Three people on ATVs in a brown field turn their heads to look at the camera."", ""Three people ride their four wheelers through the field."", ""Three people on four wheel ATV's in a field."", ""Three people on ATV's outside."", ""Three people drive ATVs.""]","[1440, 1441, 1442, 1443, 1444]",109823394.jpg,288,People ride ATVs.,ATVs are ridden by people.,0,train,8
